Um Lugar Silencioso: Dia Um,2024,6.7/10,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
Meu Malvado Favorito 4,2024,6.3/10,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, an... Read all"
Twisters,2024,7.1/10,A retired tornado-chaser and meteorologist is persuaded to return to Oklahoma to work with a new team and new technologies.
Era uma Vez um Sonho,2020,6.7/10,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future."
Maharaja,2024,8.7/10,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the e... Read all"
Horizon: An American Saga - Chapter 1,2024,6.9/10,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Twister,1996,6.5/10,Two storm chasers on the brink of divorce must work together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.
Como Vender a Lua,2024,6.8/10,"Marketing maven Kelly Jones wreaks havoc on launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
Planeta dos Macacos: O Reinado,2024,7.0/10,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for a... Read all"
Divertida Mente 2,2024,7.8/10,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to th... Read all"
Deadpool & Wolverine,2024,8.3/10,Wolverine is recovering from his injuries when he crosses paths with the loudmouth Deadpool. They team up to defeat a common enemy.
Clube dos Vândalos,2023,6.8/10,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must cho... Read all"
Furiosa: Uma Saga Mad Max,2024,7.6/10,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Amigos Imaginários,2024,6.5/10,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Longlegs - Vínculo Mortal,2024,7.2/10,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Descedentes: A Ascensão de Copas,2024,4.6/10,"Follows Red, daughter of the Queen of Hearts, and Chloe, daughter of Cinderella, as they team up to save Auradon by traveling back in time using the White Rabbit's pocket watch, to stop an e... Read all"
Um Tira da Pesada 4: Axel Foley,2024,6.5/10,"Axel Foley returns to Beverly Hills after his daughter's life is threatened, and works with old pals John Taggart and Billy Rosewood to uncover a conspiracy."
MaXXXine,2024,6.8/10,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to re... Read all"
Kalki 2898-AD,2024,7.7/10,"A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces."
Guerra Civil,2024,7.1/10,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
The Long Gameb,2023,6.7/10,"In 1955, five young Mexican-American caddies, out of the love for the game, were determined to learn how to play, so they created their own golf course in the middle of the South Texas deser... Read all"
"Divórcio em Família, por Tyler Perry",2024,4.5/10,Ava's husband Dallas leaves her heartbroken as he abandons their marriage.
